Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2022-01-03,178.8799285888672,179.73497720500467,174.653888631977,174.77182016673515,104487900
2022-01-04,176.60964965820312,179.79393593953884,176.0396222685355,179.4892694890775,99310400
2022-01-05,171.91184997558594,177.07156425536837,171.6366664137079,176.5211971316123,94537600
2022-01-06,169.04208374023438,172.28533602057317,168.68827412789958,169.73004270966848,96904000
2022-01-07,169.2091522216797,171.1452748909949,168.0887576563829,169.9167714204335,86709100
2022-01-10,169.22882080078125,169.53348727704656,165.27794924612078,166.1723034158152,106765600
2022-01-11,172.069091796875,172.1673630652104,167.88235785704865,169.35656184948618,76138300
2022-01-12,172.51136779785156,174.13298635832638,171.81358623406135,173.09121782891782,74805200
2022-01-13,169.22882080078125,173.58263011635788,168.83569067303486,172.75707934266197,84505800
2022-01-14,170.0936737060547,170.79145523828697,168.14771352583708,168.39341420548664,80440800
2022-01-18,166.8799285888672,169.5727988269632,166.49663607341066,168.56051308110673,90956700
2022-01-19,163.37130737304688,168.13790701368765,163.08630115574192,167.07647817629606,94815000
2022-01-20,161.68087768554688,166.7619661877595,161.3565509731018,164.10840171802175,91420500
2022-01-21,159.61697387695312,163.46955826967317,159.50886499109,161.5924017044035,122848900
2022-01-24,158.84056091308594,159.50887451917274,152.0395683138979,157.26808565686596,162294600
2022-01-25,157.03219604492188,159.960943553215,154.31966630533267,156.24595097657829,115798400
2022-01-26,156.94375610351562,161.56292551584528,155.1059199641222,160.6882317654177,108275300
2022-01-27,156.48182678222656,161.02236986801861,155.55798996472078,159.65627489219415,121954600
2022-01-28,167.40077209472656,167.42043234611594,160.00026956448573,162.86022878833853,179935700
2022-01-31,171.7742462158203,171.9904639988434,166.59487204384064,167.23370276509192,115541600
2022-02-01,171.60716247558594,171.83320287445497,169.34671349776292,171.01747491741384,86213900
2022-02-02,172.81602478027344,172.8553452866124,170.34919537896823,171.74477342641566,84914300
2022-02-03,169.9265899658203,173.2091625575225,169.160005018323,171.4794201148579,89418100
2022-02-04,169.64122009277344,171.32396054369477,167.9584796418521,168.9425345214472,82465400
2022-02-07,168.9228515625,171.1763304609041,168.22416604358875,170.1037143263292,77251200
2022-02-08,172.0423126220703,172.55402535255456,168.6965170956554,168.99173655614575,74829200
2022-02-09,173.4691925048828,173.83328800439335,172.1111919697569,173.24286408752374,71285000
2022-02-10,169.37550354003906,172.68192819387235,168.8146001247778,171.36329839541398,90865900
2022-02-11,165.95101928710938,170.32022548644153,165.360580335394,169.58218430454045,98670700
2022-02-14,166.1871795654297,166.87601492289843,163.90416522012222,164.70124720629926,86185500
2022-02-15,170.03485107421875,170.19230347259372,167.53535806583648,168.2438788430367,62527400
2022-02-16,169.79867553710938,170.57607229918491,167.33853829378842,169.1098401120767,61177400
2022-02-17,166.1871795654297,169.1688644106395,165.78371349338204,168.30289138097328,69589300
2022-02-18,164.6323699951172,167.82069791691148,163.54006857345092,167.1121922796674,82772700
2022-02-22,161.69989013671875,164.03209518170536,159.5644780309518,162.3493548856938,91162800
2022-02-23,157.5176544189453,163.50069421366558,157.20274968475783,162.90042020266935,90009200
2022-02-24,160.14508056640625,160.25332719300383,149.57632680623354,150.14708038143124,141147500
2022-02-25,162.221435546875,162.48711952478297,158.30488673407692,161.22753061493847,91974200
2022-02-28,162.4871368408203,162.78235630766343,159.84002681342048,160.45998619224247,95056600
2022-03-01,160.59776306152344,163.94355886382843,159.38737969074035,162.0738454702056,83474400
2022-03-02,163.9041748046875,164.69142169446647,160.35173616541616,161.7687775639212,79724800
2022-03-03,163.57943725585938,166.21671212228483,162.91028714997404,165.78372557589515,76678400
2022-03-04,160.56822204589844,162.9102773059474,159.51529120397137,161.86718160657645,83737200
2022-03-07,156.7599334716797,162.38872815867046,156.5040696124171,160.75519357831982,96418800
2022-03-08,154.92959594726562,160.28285666328267,153.3157466151268,156.28759642734667,131148300
2022-03-09,160.35171508789062,160.80438687004462,156.86816795403388,158.905153435018,91454900
2022-03-10,155.9923553466797,157.83253283188523,153.49284799843335,157.64556003629005,105342000
2022-03-11,152.2628173828125,156.74027038411012,152.03648894987714,156.3958451472846,96970100
2022-03-14,148.21835327148438,151.6625456315132,147.7066555034308,149.03512069014965,108732100
2022-03-15,152.6170654296875,153.08942257610076,147.98217542358523,148.4938731423045,92964300
2022-03-16,157.04530334472656,157.44876942008187,151.99711238572482,154.54581073699606,102300200
